time_ms,voltage_mv
331.7,-57.70550883669487
331.8,-57.6172022429677
331.90000000000003,-57.52933608021417
332.0,-57.44190815177564
332.1,-57.354916271949335
332.2,-57.26835826593373
332.3,-57.18223196977417
332.40000000000003,-57.09653523030876
332.5,-57.011265905114556
332.6,-56.92642186245398
332.7,-56.84200098122155
332.8,-56.75800115089084
332.90000000000003,-56.67442027146171
333.0,-56.59125625340784
333.1,-56.50850701762443
333.2,-56.42617049537627
333.3,-56.34424462824603
333.40000000000003,-56.262727368082764
333.5,-56.18161667695071
333.6,-56.10091052707838
333.7,-56.02060690080781
333.8,-55.94070379054418
333.90000000000003,-55.86119919870555
334.0,-55.78209113767299
334.1,-55.70337762974087
334.2,-55.625056707067365
334.3,-55.54712641162535
334.40000000000003,-55.46958479515336
334.5,-55.39242991910697
334.6,-55.315659854610246
334.7,-55.239272682407574
334.8,-55.16326649281568
334.90000000000003,-55.08763938567585
335.0,-55.01238947030649
335.1,-54.937514865455775
335.2,-54.863013699254694
335.3,-54.78888410917022
335.40000000000003,-54.71512424195872
335.5,-54.641732253619686
335.6,-54.56870630934958
335.7,-54.496044583496
335.8,-54.42374525951201
335.90000000000003,-54.35180652991074
336.0,-54.28022659622021
336.1,-54.20900366893835
336.2,-54.13813596748827
336.3,-54.067621720173726
336.40000000000003,-53.99745916413488
336.5,-53.92764654530418
336.6,-53.85818211836251
336.7,-53.789064146695566
336.8,-53.720290902350484
336.90000000000003,-53.65186066599255
337.0,-53.58377172686232
337.1,-53.516022382732736
337.2,-53.44861093986668
337.29999999999995,-53.381535712974575
337.40000000000003,-53.31479502517225
337.5,-53.24838720793903
337.6,-53.18231060107603
337.7,-53.116563552664644
337.79999999999995,-53.05114441902522
337.90000000000003,-52.98605156467602
338.0,-52.9212833622923
338.1,-52.85683819266561
338.2,-52.79271444466338
338.29999999999995,-52.728910515188545
338.40000000000003,-52.66542480913956
338.5,-52.602255739370456
338.6,-52.5394017266512
338.7,-52.47686119962822
338.8,-52.414632594785054
338.90000000000003,-52.35271435640336
339.0,-52.29110493652394
339.1,-52.2298027949081
339.2,-52.1688063989991
339.3,-52.108114223883874
339.40000000000003,-52.04772475225487
339.5,-51.98763647437216
339.6,-51.927847888025674
339.7,-51.86835749849762
339.8,-51.80916381852518
339.90000000000003,-51.75026536826326
340.0,-51.69166067524754
340.1,-51.633348274357644
340.2,-51.57532670778051
340.3,-51.51759452497395
340.40000000000003,-51.460150282630394
340.5,-51.40299254464078
340.6,-51.3461198820587
340.7,-51.28953087306461
340.8,-51.233224102930336
340.90000000000003,-51.17719816398371
341.0,-51.121451655573324
341.1,-51.06598318403357
341.2,-51.01079136264977
341.3,-50.95587481162352
341.40000000000003,-50.90123215803818
341.5,-50.84686203582456
341.6,-50.792763085726776
341.7,-50.73893395526826
341.8,-50.68537329871794
341.90000000000003,-50.63207977705663
342.0,-50.57905205794349
342.1,-50.526288815682804
