time_s,E_uM,S_uM,ES_uM,P_uM,P_reduced_uM
22.700000000000003,9.255714375176078,31.919478568758517,10.744285624823906,57.33623580599353,61.872762260388136
22.8,9.282642808021434,31.731790444647245,10.71735719197855,57.55085236295016,62.096331482965965
22.900000000000002,9.30964598451457,31.544716380629513,10.690354015485415,57.76492960346103,62.31931961591458
23.0,9.336723692811404,31.358257657867757,10.66327630718858,57.97846603451962,62.54172434882697
23.1,9.363875714255267,31.172415546506116,10.636124285744717,58.191460167325125,62.76354337009149
23.200000000000003,9.391101823318904,30.987191305492736,10.60889817668108,58.40391051740214,62.98477436689181
23.3,9.418401787788904,30.80258618166188,10.581598212211079,58.615815605703,63.20541502520694
23.400000000000002,9.445775369217516,30.61860140799943,10.554224630782466,58.827173960794056,63.42546302981127
23.5,9.47322232071284,30.435238210036058,10.526777679287143,59.03798411025276,63.64491606427447
23.6,9.50074238891533,30.252497799456947,10.499257611084651,59.24824458903436,63.86377181096161
23.700000000000003,9.528335313338355,30.070381375760736,10.471664686661628,59.45795393715359,64.08202795152907
23.8,9.556000826312262,29.888890126075516,10.44399917368772,59.66711069981272,64.29968216877771
23.900000000000002,9.583738652928476,29.708025224974794,10.416261347071506,59.875713427529654,64.51673214373373
24.0,9.61154851135958,29.527787833771406,10.388451488640403,60.08376067716414,64.73317555792275
24.1,9.639430113712065,29.34817909907173,10.360569886287918,60.29125101421631,64.94901009372535
24.200000000000003,9.66738316234878,29.169200157620587,10.332616837651202,60.49818300430417,65.16423343437717
24.3,9.695407353222459,28.990852131410783,10.304592646777524,60.70455522138765,65.37884326396872
24.400000000000002,9.723502374821974,28.81313612888457,10.276497625178008,60.91036624551338,65.59283726744559
24.5,9.751667908119796,28.63605324474504,10.248332091880187,61.115614662950726,65.80621313060828
24.6,9.779903626519436,28.459604559767392,10.220096373480546,61.32029906632802,66.01896854011235
24.700000000000003,9.808209196290312,28.28379114035216,10.19179080370967,61.524418055514126,66.23110118489896
24.8,9.836584277863023,28.1086140376227,10.163415722136959,61.7279702398163,66.44260875623854
24.900000000000002,9.865028520673325,27.934074289939296,10.134971479326657,61.93095423031001,66.65348894638322
25.0,9.893541567839723,27.760172920205434,10.10645843216026,62.13336864721026,66.86373945073682
25.1,9.92212305472413,27.58691093641353,10.077876945275852,62.33521211788657,67.07335796787117
25.200000000000003,9.950772608883943,27.414289331453844,10.04922739111604,62.53648327700608,67.28234219952614
25.3,9.979489850024107,27.242309082923313,10.020510149975875,62.73718076667677,67.4906898506096
25.400000000000002,10.008274390509508,27.070971152888166,9.991725609490475,62.93730323719731,67.69839862919741
25.5,10.037125837085357,26.90027648754679,9.962874162914625,63.13684934911454,67.90546624653345
25.6,10.066043784435927,26.73022601756651,9.933956215564056,63.33581776644539,68.11189041786444
25.700000000000003,10.095027821007628,26.560820657407678,9.904972178992354,63.53420716317592,68.31766886386644
